;;N°;;;Type;Date;Date;;;;;;;;;;
N° mandant;Nom court mandant;Mandataire;Nom court mandataire;PM/PP;mandat;attribution;résiliation;Motif attribution mandat;Nom contact chez le mandataire;Prénom contact;Téléfon contact;Fax contact;N° CCP;N° compte bancaire;IBAN;BIC SWIFT;Nom institution financière
-----------;------------------------------;-----------;------------------------------;-----;------;-----------;-----------;----------------------------------------;------------------------------;--------------------;----------------;----------------;---------------;--------------------;----------------------------------------;------------;--------------------------------------------------
40120;SOCIETE IMMOBILIERE LEMAN;73225;INTERFINEXA;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
40192;MAXDO;47272;FIDALLIANCE;ENT;G;01.01.2015;;;;;;;;;;;
40229;RJ CONSTRUCTION;46706;SOLVENS;ENT;G;01.01.2015;;;;;;;;;;;
40325;VALINE;1939;AUDICT FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
40337;VILLAGEOISE LIEU;24021;FIDUCIAIRE GILBERT DE MIEVILLE;ETA;G;01.01.2015;;;;;;;;;;;
40385;PLUS IK;2068;FIDUGERE PARTENAIRES;ENT;G;01.01.2015;31.12.2015;;;;;;;;;;
40385;PLUS IK;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
40427;FEI DEVELOPMENT;46105;ALTAFID;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
40467;NOTOS;6765;PRICEWATERHOUSECOOPERS;ETA;G;01.01.2005;31.12.2014;;;;058 792'81'00;;;;;;
40551;LABOTECK;38408;E GESTION;ENT;G;01.01.2012;31.12.2014;;;;032 732'90'00;032 732'90'09;;;;;
40610;SOLUTION SANTE;522;FIREL BERNEY;ENT;G;01.01.2015;;;;;;;;;;;
40620;PRIMUS SOLAR TECHNOLOGIES;12281;FIDEXAUDIT;ENT;G;01.01.2009;31.12.2014;;;;021 331'02'02;;;;;;
40706;ARABESQUE WEALTH MANAGEMENT;28168;FIDUCIAIRE PPC;ENT;G;01.01.2015;;;;;;;;;;;
40710;NETVIT NETTOYAGES;18720;MICHEL GUISOLAN BUREAU COMPTAB;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
40780;SC SECURITE CONCEPT;7678;DV GESTION VALERIE DEWARRAT;ETA;G;01.01.2015;;;;;;;;;;;
40797;CREPUSCULE;19963;MA FIDUCIA;ENT;G;01.01.2012;31.12.2014;;;;021 886'32'80;;;;;;
40797;CREPUSCULE;73498;DFG FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
40825;JECKER MENUISERIE;19963;MA FIDUCIA;ENT;G;01.01.2014;31.12.2014;;;;021 886'32'80;;;;;;
40825;JECKER MENUISERIE;73498;DFG FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
40886;HUTTE;28127;FIDASSIST;ENT;G;01.01.2015;;;;;;;;;;;
41075;KARVEYR ENTREPRISE GENERALE;37879;FIDUCIAIRE PROCOMPTEX;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
41083;BVA DISTRIBUTION;1960;FIDINTER;ENT;G;01.01.2010;30.09.2014;;;;021 614'61'61;;;;;;
41092;NICOLA DAMIANO;44393;FIDUCIAIRE PILLOUD & GOLAY;ENT;G;01.01.2006;31.12.2014;;;;;;;;-;-;-
41092;NICOLA DAMIANO;24272;PILLOUD CHRISTIAN;ETA;G;01.01.2015;;;;;;;;;;;
41122;KAPHS;60233;OFFICE CONSULTANT RIVIERA;ENT;G;01.01.2015;;;;;;;;;;;
41162;GCE HOLDING;73225;INTERFINEXA;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
41178;EPICERIE TOURNESOL;9641;SOLUTIONS A DUPUIS;ETA;G;01.01.2009;31.12.2014;;;;;;;;;;
41226;NOVISSIMO;35243;F ALTITUDE;ENT;G;01.01.2010;;;;;;;;;;;
41351;ARGOS PREVOYANCE;16404;BAKER TILLY SPIESS;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
41391;ETIENNE ROUGE TERRASSEMENT;2647;FIDUCIAIRE CHARLES MEICHTRY;ETA;G;01.01.2006;31.12.2014;;;;021 964'10'66;;;;;;
41391;ETIENNE ROUGE TERRASSEMENT;47;FIDUCIAIRE DUFAUX & MURY;ENT;G;01.01.2015;;;;;;;;;;;
41582;RIVIERA COSMETICS;22190;HUGGLER LEONARD;ETA;G;01.01.2015;;;;;;;;;;;
41626;MDF MENUISERIE;42965;OPTIFISC CABINET FISCAL;ENT;G;01.01.2015;;;;;;;;;;;
41696;RESTAURANT MAJOR DAVEL;7563;GOMEZ JUAN FIDUCIAIRE;ETA;G;01.01.2014;31.12.2014;;;;024 441'02'57;;;;;;
41706;GRANIT GREEN NETWORKS;3586;FIDUCIAIRE FIDAG SION;ETA;G;01.01.2015;;;;;;;;;;;
41744;SWISS INTECH;38297;DSK AUDIT;ENT;G;01.01.2013;31.12.2014;;;;021 963'50'00;;;;;;
41823;RAPTOR;3;FIDUCIAIRE SOFIGER;ENT;G;01.01.2011;31.12.2014;;;;022 364'13'17;;;;;;
41917;BOUTIQUE SAFRAN;6520;ARIANE FIDUCIAIRE CUENEZ;ETA;G;01.01.2012;31.12.2014;;;;;;;;;;
41917;BOUTIQUE SAFRAN;70003;FIDUCI;ENT;G;01.01.2015;;général;Brochon;Marie-Louise;024 425'34'06;;;;;;
41922;GRAPHAX PARTICIPATIONS;16803;FIDINTER TREUHAND;ENT;G;01.01.2010;31.12.2014;;;;044 297'20'50;;;;;;
41988;CHRONOLABEL;55650;FIDUCIAIRE & GESTION AYERS;ENT;G;01.01.2012;31.12.2014;;;;;;;;;;
42034;YETI;51010;FIDUCIAIRE MONACHON;ENT;G;01.01.2015;;;;;;;;;;;
42094;COYOTE;37158;BAKER & NORTON FIDUCIAIRE;ENT;G;01.01.2013;31.12.2014;;;;024 472'43'40;;;;;;
42233;SERGATECH;2653;MAURICE H. RAPIT CONSEIL FID.;ETA;G;01.01.2005;31.12.2014;;;;;;;;-;-;-
42233;SERGATECH;3548;MHR REVISION;ENT;G;01.01.2015;;;;;;;;;;;
42362;SB INFO;17481;BDO EPALINGES;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
42362;SB INFO;36657;FIDEXPERT FRIBOURG;ENT;G;01.01.2015;;;;;;;;;;;
42465;IS INFORMATION STRATEGIES;15215;FIDUCONSULT CONSEILS;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
42487;PROJECTION NOUVELLE;215;FIDUCIAIRE MICHEL FAVRE;ENT;G;01.01.2007;31.12.2014;;;;021 651'33'00;;;;;;
42487;PROJECTION NOUVELLE;48034;FIDULEM SA;ENT;G;01.01.2015;;;;;;;;;;;
42500;COMPOSTIERE GROS DE VAUD;19963;MA FIDUCIA;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
42500;COMPOSTIERE GROS DE VAUD;73498;DFG FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
42506;IDENT INNOVATIONS DENTISTRY;2059;CRF REVISION;ENT;G;01.01.2009;31.12.2014;;;;022 365'59'59;;;;;;
42506;IDENT INNOVATIONS DENTISTRY;18711;CRF FIDUCIAIRE CONSEILS;ENT;G;01.01.2015;;;;;;;;;;;
42508;CLEMENT BORLAT FILS MARBRERIE;25063;ROCH FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
42612;V SEC;19963;MA FIDUCIA;ENT;G;01.01.2012;31.12.2014;;;;021 886'32'80;;;;;;
42612;V SEC;73498;DFG FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
42653;OPEN TECHNOLOGIES SOLUTIONS;36187;PRATEO CONSEIL;ENT;G;01.01.2007;31.12.2014;;;;021 721'08'60;;;;;;
42653;OPEN TECHNOLOGIES SOLUTIONS;64829;PRATEO;ENT;G;01.01.2015;;;;;;;;;;;
42737;DENTIMED;2047;FIDUCIAIRE LAMBELET FIDAL;ENT;G;01.01.2015;;;;;;;;;;;
42748;CSMTC CENTRE SOINS MEDECINE;9270;FIDEXPERT;ENT;G;01.01.2012;31.12.2014;;;;021 989'82'70;;;;;;
42748;CSMTC CENTRE SOINS MEDECINE;49353;FIDESCO;ENT;G;01.01.2015;;;;;;;;;;;
42768;VELCROTEX;73498;DFG FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
42774;OC MANAGEMENT;49226;COFIDA COMPAGNIE FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
42776;MENUISERIE MARCEL BLUM;2091;FICOGERE FIDUCIAIRE CONSEILS;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
42782;HELISTAR;17184;BUSINESS PRO;ETA;G;01.01.2014;31.12.2015;;;;;;;;;;
42789;SCHEIDEGGER FINANCES;12489;INTERCOMPTAS FIDUCIAIRE;ENT;G;01.01.2015;;général;;;021 803'42'43;021 801'77'57;;;;;
42982;IMAGE 3D;9270;FIDEXPERT;ENT;G;01.01.2007;31.12.2014;;;;021 989'82'70;;;;;;
42983;COQUILLAGE;64829;PRATEO;ENT;G;01.01.2005;;;;;021 721'08'60;;;;;;
43039;LEDERMANN APLICATIONS TECHNIQU;18720;MICHEL GUISOLAN BUREAU COMPTAB;ETA;G;01.01.2014;31.12.2014;;;;021 909'44'41;;;;;;
43040;COMPOSITE;70044;FIDUCIAIRE LEMANIQUE;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
43197;HEP;2906;FIDUCIAIRE GERANCE RIDOUX;ENT;G;02.01.2012;31.12.2014;;;;;;;;;;
43311;RESEAU SANTE COTE;40367;FIDUCIAIRE JAG GILLIERON;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
43353;ASSOCIATION TURCS LAUSANNE;583;FIDUCIAIRE AVONDO;ENT;G;01.01.2015;;;;;;;;;;;
43406;LOCALARCHITECTURE;14207;BERNEY ASSOCIES LAUSANNE;ETA;G;01.01.2013;31.12.2014;;;;;;;;;;
43452;SOLAR IMPULSE;48034;FIDULEM SA;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
43454;KUKABAR;58174;B BEGUIN FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
43461;FONDATION MURONS;7062;ERNST & YOUNG LAUSANNE;ETA;G;01.01.2009;31.12.2014;;;;;;;;;;
43475;BRM BRULEUR ROMANDIE;45787;FIDUREV;ENT;G;01.01.2015;;;;;;;;;;;
43678;CHABLAIS POMPES FUNEBRES;19963;MA FIDUCIA;ENT;G;01.01.2011;31.12.2014;;;;021 886'32'80;;;;;;
43678;CHABLAIS POMPES FUNEBRES;73498;DFG FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
43685;TWO;966269;Mélanie Sciboz;IND;G;01.01.2015;;;;;;;;;;;
43710;GG EXCURSIONS;20230;COFIREV BUREAU FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
43761;M P GLAND;9052;SBC FIDUCIAIRE;ETA;G;01.01.2015;;;;;;;;;;;
43788;PGO SERVICES;48034;FIDULEM SA;ENT;G;01.01.2015;;;;;;;;;;;
43845;JECOVARD;11797;FIDUCIAIRE FIDAZED;ENT;G;01.01.2015;;;;;;;;;;;
43855;VERDECO;18190;ACF FIDUCIAIRE;ENT;G;01.01.2014;31.12.2014;;;;022 817'07'50;;;;;;
44019;CIMARIS;10328;PBBG GERANCE & GESTIONS;ENT;G;01.01.2015;;;;;;;;;;;
44083;SPIDO;30221;SWMH FIDUCIAIRE CONSEILS;ENT;G;01.01.2015;;;;;;;;;;;
44109;VAUD LOCATION;37879;FIDUCIAIRE PROCOMPTEX;ENT;G;01.01.2011;31.12.2014;;;;;;;;;;
44109;VAUD LOCATION;46706;SOLVENS;ENT;G;01.01.2015;;;;;;;;;;;
44130;YEKTAM;15189;EMK CONSULTING MANAGEMENT;ETA;G;01.01.2009;31.12.2014;;;;;;;;;;
44223;AALT RENT CAR;62232;FID CONSULTING;ENT;G;01.01.2015;;;;;;;;;;;
44245;SINOSANTE;22336;FIDUCIAIRE LAMBELET FIDAL;ETA;G;01.01.2015;;;;;;;;;;;
44266;ALFAFINANCE;2093;OFICO FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
44270;SWISS CONSTRUCTION SERVICES;20163;FIDUCIAIRE FIDAG;ENT;G;01.01.2014;;;;;;;;;;;
44309;SWISS MEDICAL CONSULTANTS;16909;FIDUCIAIRE STEPHAN ROULET;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
44318;FREECONCEPT MULTIMEDIA;18427;CLAUDE PANCHARD GESTION COMPTA;ETA;G;01.01.2015;;;;;;;;;;;
44435;KR BRAND & DESIGN SOLUTIONS;959;STE CONTROLE FIDUCIAIRE;ETA;G;01.01.2006;;;;;021 313'44'30;;;;;;
44530;MICRO BEAM;16195;BRUNNER & ASSOCIES FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
44543;AMBLER;11258;FIDEURO;ENT;G;01.01.2005;31.12.2014;;;;021 311'50'00;;;;;;
44546;GARAGE ERIC GASCH;6071;VELEDES FIDUCIAIRE ANCIEN;ETA;G;01.01.2009;31.12.2015;;;;021 323'67'83;;;;;;
44573;ASSOCIATION OSEO VAUD;9270;FIDEXPERT;ENT;G;01.01.2015;;;;;;;;;;;
44582;EVANA;16314;BFB CONSEIL FIDUCIAIRE;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
44625;GERAUMA;19963;MA FIDUCIA;ENT;G;01.01.2011;31.12.2014;;;;;;;;;;
44625;GERAUMA;73498;DFG FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
44879;GERMAPLAKET;40263;PB FIDUCIAIRE;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
44879;GERMAPLAKET;63698;FIDUCIAIRE STAEHLI;ENT;G;01.01.2015;;;;;;;;;;;
44881;APC SOLUTIONS;24031;JACQUES M MAYOR;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
45050;MATRIX RESOLUTION;46716;MCL SERVICES;ENT;G;01.01.2015;;;;;;;;;;;
45145;DIAGNOPLEX;6765;PRICEWATERHOUSECOOPERS;ETA;G;01.01.2014;31.12.2014;;;;058 792'81'00;;;;;;
45145;DIAGNOPLEX;3662;AMETIS CONSEILS;ENT;G;01.01.2015;;;;;;;;;;;
45162;S3T SECRETARIAT SERVICES;2710;CABINET FISCAL JF MEILLARD;ETA;G;01.01.2011;31.12.2014;;;;;;;;;;
45259;SYNECO;43339;LEMAG TREUHAND & PARTNER;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
45298;SI ROCAILLE LAUSANNE;30437;CAC COMPAGNIE AUDIT CONSEILS;ENT;G;01.01.2010;31.12.2014;;;;;;;;;;
45298;SI ROCAILLE LAUSANNE;1821;OFISA;ENT;G;01.01.2015;;;;;;;;;;;
45303;COULEUR VERTE;70928;JM FISCALITE & IMMOBILIER;ENT;G;01.01.2015;;;;;;;;;;;
45340;CSF;9270;FIDEXPERT;ENT;G;01.01.2012;31.12.2014;;;;021 989'82'70;;;;;;
45368;FRELLENT;23677;FIDUCIAIRE JOSE GIAVAZZI;ETA;G;01.01.2014;31.12.2014;;;;021 963'18'18;;;;;;
45384;BL & ASSOCIES;56419;EYEGLASS ADMINISTRATION;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
45419;ANVALLIX SI;63586;ARAMIS TRUST;ENT;G;01.01.2012;31.12.2014;;;;;;;;;;
45440;GREYSTONE ARCHITECTURE;44677;FGN FIDUCIAIRE;ENT;G;01.01.2010;31.12.2014;;;;021 653'49'33;;;;;;
45507;LONGXI;22318;FIDULIO BUREAU FIDUCIAIRE;ETA;G;01.01.2012;31.12.2014;;;;;;;;;;
45807;ABC TAXIS MORGES;16417;BFB FIDAM FIDUCIAIRE;ENT;G;01.01.2011;31.12.2014;;;;021 641'46'46;;;;;;
45945;IGEFI LICENSING;6795;PRICEWATERHOUSECOOPERS;ETA;G;01.01.2015;;;;;;;;;;;
45958;FLOCON BLANC;10499;RENE GUIGNARD FIDUCIAIRE;ETA;G;01.01.2015;;;;;;;;;;;
46019;NEW CONCEPT INFORMATIQUE;67105;SYLRAY FIDUCIAIRE BEZENCON;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
46028;CETP ETUDES TECHNIQUES;64829;PRATEO;ENT;G;01.01.2010;;;;;;;;;;;
46029;ON & EM MANAGEMENT;36187;PRATEO CONSEIL;ENT;G;01.01.2010;31.12.2014;;;;021 721'08'60;;;;;;
46030;PAANSERA;11937;CREBOFIN;ENT;G;08.09.2005;31.12.2014;;;;;;;;-;-;-
46030;PAANSERA;2235;FIDEXPERT LAUSANNE;ENT;G;01.01.2015;;;;;;;;;;;
46078;H RAMADANI;522;FIREL BERNEY;ENT;G;01.01.2012;31.12.2014;;;;;;;;;;
46110;SWISSINVEST PROJECT;53658;CONSULTANTS ASSOCIES;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
46143;SOCIETE HOTELS RIVE;41832;UNIFID;ENT;G;01.01.2012;31.12.2014;;;;;;;;;;
46273;NAVIXIA;2093;OFICO FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
46342;FORTA FREIGHT TRAFFIC;14631;OGISA;ENT;G;01.01.2014;31.12.2015;;;;;;;;;;
46342;FORTA FREIGHT TRAFFIC;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
46445;GUIGNARD ELECTRO CONTROLE;7563;GOMEZ JUAN FIDUCIAIRE;ETA;G;01.01.2014;31.12.2014;;;;024 441'02'57;;;;;;
46453;BOAS IMMOBILIER;46887;TERTIANUM ROMANDIE MANAGEMENT;ENT;G;01.01.2007;31.12.2014;;;;021 805'40'00;;;;;;
46453;BOAS IMMOBILIER;32089;BOAS GESTION;ENT;G;01.01.2015;;;;;;;;;;;
46490;BEST CONSEILS ASSURANCES;55069;W&G ASSOCIES;ENT;G;01.01.2012;31.12.2014;;;;;;;;;;
46495;SINOSANTE YVERDON;22336;FIDUCIAIRE LAMBELET FIDAL;ETA;G;01.01.2015;;;;;;;;;;;
46663;FONDATION KIDS WITH CAUSE EURO;64829;PRATEO;ENT;G;01.01.2012;;;;;;;;;;;
46675;PRODUCT DNA;49198;LEMAN CABINET FISCAL;ENT;G;01.01.2015;;;;;;;;;;;
46720;CACHIN CHARPENTE;29714;SERFID;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
46720;CACHIN CHARPENTE;31590;FIDUCIAIRE FIDINTER;ENT;G;01.01.2015;;;;;;;;;;;
46761;FGS ETANCHEITES;4621;SEF SOCIETE FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
46854;BOUCHERIE MAUPAS;13128;MSJ FIDUCIAIRE MICHEL JACCOUD;ETA;G;01.01.2007;31.12.2014;;;;079 622'34'24;;;;;;
46854;BOUCHERIE MAUPAS;4676;FIDUCIAIRE TECHNIKOR;ENT;G;01.01.2015;;;;;;;;;;;
46879;ASSOCIATION HELP FOR HOPE;18711;CRF FIDUCIAIRE CONSEILS;ENT;G;01.01.2015;;;;;;;;;;;
46929;SWISS BELLEFONTAINE INTERNAT;14207;BERNEY ASSOCIES LAUSANNE;ETA;G;01.01.2015;;;;;;;;;;;
46959;CONDITECH SOCIETE COOPERATIVE;16401;BFB FIDAM REVISION;ENT;G;01.01.2010;31.12.2014;;;;;;;;;;
46966;AJA;53056;EFFI & CEANS ETUDE FISCALE;ENT;G;01.01.2012;31.12.2014;;;;;;;;;;
47023;SUZANO PULP PAPER EUROPE;5245;KPMG GENEVE;ETA;G;01.01.2015;;;;;;;;;;;
47027;FORCE BUSINESS;60233;OFFICE CONSULTANT RIVIERA;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
47058;IGEFI;6795;PRICEWATERHOUSECOOPERS;ETA;G;01.01.2015;;;;;;;;;;;
47085;VD ESPRIT MONTAGNE CH;32965;NOFIVAL VAUD;ENT;G;01.01.2015;;;;;;;;;;;
47140;GRAND CHELEM EVENT;2048;ALR FIDUCIAIRE;ENT;G;01.01.2007;31.12.2014;;;;022 362'31'60;;;;;;
47140;GRAND CHELEM EVENT;2063;BETTEX FRERES & PARTENAIRES;ENT;G;01.01.2015;;;;;;;;;;;
47145;DENTAGEST;4621;SEF SOCIETE FIDUCIAIRE;ENT;G;01.01.2009;31.12.2014;;;;021 310'01'01;;;;;;
47237;CWI COMMUNICATION WEB;73467;FID ONE FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
47240;REFLEX ELECTRICITE TELECOM;21807;GRF FIDUCIAIRE;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
47304;CCM CRIBLAGE CONCASSAGE MIES;13993;FIDEXPERT COTE;ENT;G;01.01.2014;;;;;;;;;;;
47334;MODENA CARS RACING;16673;BERNEY & ASSOCIES FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
47386;AAC AIDE ASSISTANCE CLEMENT;73498;DFG FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
47453;IVM CONSEILS;61395;DIDEO FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
47466;XEL;49845;C & S COMPTABILITE & SERVICES;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
47466;XEL;11797;FIDUCIAIRE FIDAZED;ENT;G;01.01.2015;;;;;;;;;;;
47501;FAIR WIND EUROPE;22318;FIDULIO BUREAU FIDUCIAIRE;ETA;G;01.01.2015;;;;;;;;;;;
47536;ALWOOD;1110;MCD CONSEIL;ENT;G;01.03.2006;31.12.2014;;;;;;;;-;-;-
47560;TAPIS DECORS;23;HERVEST FIDUCIAIRE;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
47579;AWARO;1277;CHERPILLOD BUREAU FID;ETA;G;01.01.2015;;;;;;;;;;;
47608;EPATAN;11937;CREBOFIN;ENT;G;01.01.2013;31.12.2014;;;;021 653'27'17;;;;;;
47608;EPATAN;2235;FIDEXPERT LAUSANNE;ENT;G;01.01.2015;;;;;;;;;;;
47633;ANTEDMAN;36187;PRATEO CONSEIL;ENT;G;01.01.2006;31.12.2015;;;;021 721'08'60;;;;-;-;-
47633;ANTEDMAN;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
47640;PHARMACIE COSSONAY;31183;CF COMPAGNIE FIDUCIAIRE GESTIO;ENT;G;01.01.2012;31.05.2016;;;;022 705'15'15;;;;;;
47696;RESTAURANT AEROPORT REGIONAL;7563;GOMEZ JUAN FIDUCIAIRE;ETA;G;01.01.2015;;;;;;;;;;;
47857;OMNIBUS JOURNAL REGION ORBE;7563;GOMEZ JUAN FIDUCIAIRE;ETA;G;01.01.2015;;;;;;;;;;;
48029;GASTRO PRO JOB;71142;FISC;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
48037;RENAISSANCE PARTICIPATIONS;36187;PRATEO CONSEIL;ENT;G;01.01.2012;31.12.2014;;;;;;;;;;
48037;RENAISSANCE PARTICIPATIONS;64829;PRATEO;ENT;G;01.01.2015;;;;;;;;;;;
48111;ELITE CAR;57338;DYSA;ENT;G;01.01.2014;;;;;;;;;;;
48192;BLUE SHIFT;19341;SOFIDAD FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
48255;RELATIONS PUBLIQUES ADMINISTRA;12351;DUCHOSAL BERNEY;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
48315;INTERIORS SYSTEM DISTRIBUTION;47004;VAGO & URECH;ENT;G;01.01.2009;31.12.2014;;;;;;;;;;
48394;AQUATIS;46887;TERTIANUM ROMANDIE MANAGEMENT;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
48394;AQUATIS;32089;BOAS GESTION;ENT;G;01.01.2015;;;;;;;;;;;
48422;BIODELICE;13164;JF CONSEIL THEVOZ;ETA;G;01.01.2012;31.12.2014;;;;021 635'06'20;;;;;;
48470;WESTLAKE CHURCH NYON;9738;FIDUCIAIRE HELLER;ENT;G;01.01.2015;;;;;;;;;;;
48484;CENTRE EQUESTRE NEYEX;24565;OBERSON ABELS;ETA;G;01.01.2015;;;;;;;;;;;
48565;MMA MENUISERIE MONTAGE;29714;SERFID;ENT;G;01.01.2012;31.12.2014;;;;;;;;;;
48752;ARGOT LAB HOLDING;48034;FIDULEM SA;ENT;G;01.01.2015;;;;;;;;;;;
48767;SKWICH HOLDING;38834;SWISSCOM SCHWEIZ;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
48810;FTC OIL TRADING COMPANY;2235;FIDEXPERT LAUSANNE;ENT;G;01.01.2015;;;;;;;;;;;
49055;ETHOMETRIC;66774;TOPBUDGET FIDUCIAIRE;ENT;G;01.01.2013;31.12.2014;;;;021 646'13'72;;;;;;
49105;KATZ FILS;52209;FM BUREAU COMPTABLE;ENT;G;01.01.2012;31.12.2014;;;;021 731'46'65;;;;;;
49147;ARGECOM;63698;FIDUCIAIRE STAEHLI;ENT;G;01.01.2015;;;;;;;;;;;
49186;GLUTRAX;36187;PRATEO CONSEIL;ENT;G;01.01.2009;31.12.2015;;;;021 721'08'60;;;;;;
49186;GLUTRAX;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
49189;SANDRINE & EDGAR VIEUX;23316;MV FIDUCIAIRE;ETA;G;01.01.2015;;;;;;;;;;;
49207;JENYVAL;9147;FIDUCIAIRE FIDAG CRANS MONTANA;ETA;G;01.01.2015;;;;;;;;;;;
49290;LAMBERT CONSULTING;9934;ABC GESTION;ENT;G;01.01.2015;;;;;;;;;;;
49321;EAST BRIDGE AVIATION;5855;COMPTES HABILETE;ENT;G;01.01.2015;;;;;;;;;;;
49355;BKV PROMOTION;11710;MULTIFIDUCIAIRE FRIBOURG;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
49400;CORATEL;69200;BIZVIZ;ENT;G;01.01.2015;;;;;;;;;;;
49503;AD STORES;12620;FRI REVISION & INFORMATIQUE;ENT;G;13.02.2007;31.12.2014;;;;021 886'22'86;;;;;;
49546;COIFFURE LEMAN;62820;ALTERIS FINANCE;ENT;G;01.01.2015;;;;;;;;;;;
49586;ALCONI GASTRO;29392;BFR FIDUCIAIRE & REVISION;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
49586;ALCONI GASTRO;15971;BDO SION;ETA;G;01.01.2015;;;;;;;;;;;
49631;SPIRIT CAPITAL;57;KPMG LAUSANNE;ETA;G;01.01.2010;31.12.2015;;;;058 249'45'55;;;;;;
49631;SPIRIT CAPITAL;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
49633;ACROPOLE POMPES FUNEBRES;19963;MA FIDUCIA;ENT;G;01.01.2010;31.12.2014;;;;;;;;;;
49633;ACROPOLE POMPES FUNEBRES;73498;DFG FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
49679;SI SOFIMMO;9147;FIDUCIAIRE FIDAG CRANS MONTANA;ETA;G;01.01.2015;;;;;;;;;;;
49696;GARAGE AUTO GAMMA;44370;FIDUCIA PARTNER;ENT;G;01.01.2009;31.12.2014;;;;;;;;;;
49696;GARAGE AUTO GAMMA;24412;FIDUCIA PARTNER;ETA;G;01.01.2015;;;;;;;;;;;
49723;INSTITUT METAMORPHOSE;1110;MCD CONSEIL;ENT;G;01.04.2007;31.12.2014;;;;021 706'53'10;;;;;;
49733;QUALIBREAD;1671;FIDUCIAIRE COMMERCE INDUSTRIE;ENT;G;01.01.2013;31.12.2014;;;;021 323'88'88;;;;;;
49736;IT NETCOM;22153;PATRICK MATTENBERGER;ETA;G;01.01.2012;31.12.2014;;;;;;;;;;
49766;PANGLOSS;37793;FIDUCIAIRE TUCKER;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
49766;PANGLOSS;1264;FIDUCIAIRE REGIE BELLE RIVE;ENT;G;01.01.2015;;;;;;;;;;;
