ZAI;INP_ID;INP_NOM_ENT;INP_CHEZ_ENT;INP_RUE_ENT;INP_NPA_ENT;INP_LOC_ENT;INP_CANTON_SIEGE_ENT;INP_PAYS_SIEGE_ENT;INP_FORME_JURIDIQUE_ENT;INP_CODE_FORME_JURIDIQUE_ENT;INP_LANG_ENT;INP_SIEGE_ENT;INP_IDE;REF_IDE;REF_NOM_ENT;REF_CANTONAL_ID;MATCHING_DISTANCES;MATCHING_WEIGHT;;REMARQUE OIPM;RECHERCHE NO IDE  ;ANNONCER à L'IDE;PROBLEMES DIVERS;;
DVT;16322;Association chalet des cheminots abstinents de la Suisse romande (A.C.C.A.);c/o M.Jean-Pierre Courvoisier;Avenue du Rond-Point 1bis;1006;Lausanne Secteur de dist.;VD;CH;association;109;Français;Lausanne;;351657318;Association de l'orchestre des jeunes de la Suisse romande;101453276;0.56|1.0;0.853333333;;Fin 2007 + pas RC;Néant;NON;;;
DVT;16451;Association de la Brigade de Saleuscex-Montreux;c/o Mme Hélène Leheup;Rue des Tilleuls 10;1800;Vevey;VD;CH;association;109;Français;Montreux;;103308765;Association de la Piscine de Chexbres;101461763;0.574468085106383|1.0;0.858156028;;pas RC;rien trouvé;OUI;;;
DVT;16513;Fédération vaudoise de jeunesses campagnardes;c/o Mme Léa Paillard;Route de la Bruyère 3A;1315;La Sarraz;VD;CH;association;109;Français;Lausanne;;351440598;Fédération vaudoise des Banques Raiffeisen;101447647;0.6222222222222222|1.0;0.874074074;;pas RC;rien trouvé;OUI;;;
DVT;16638;Association des anciens sélectionneurs du groupe de Bière;M. Jean-François Jotterand;;1145;Bière;VD;CH;association;109;Français;Bière;;391191467;Association des amis des nuits du conte de Rossinière;101497961;0.5614035087719298|1.0;0.85380117;;pas RC;rien trouvé;OUI;;;
DVT;17083;Association paroissiale catholique de St-Nicolas de Flüe;;Avenue de Chailly 38;1012;Lausanne;VD;CH;association;109;Français;Lausanne;;111740923;Association Immobilière Catholique de Prilly;101668031;0.5714285714285714|1.0;0.857142857;;pas RC;rien trouvé;OUI;;;
DVT;17086;Association Suisse des Typographes AST, Groupe de Lausanne;c/o M. Blaise Michel Pitton;Chemin de Pierrefleur 66;1004;Lausanne Secteur de dist.;VD;CH;association;109;Français;Lausanne;;104038605;Association Suisse des Libraires de Langue Française;101560765;0.5862068965517242|1.0;0.862068966;;pas RC;rien trouvé;OUI;;;
DVT;17087;Société des Amis de la Liberté;c/o M. Marc Anex;Le Bornel;1867;Ollon VD;VD;CH;association;109;Français;Ollon;;247686026;Société de musique La Lyre;101593920;0.6|1.0;0.866666667;;pas RC;rien trouvé;OUI;;;
DVT;17090;Association du cartel des sociétés locales de Noville;Jean Pernet;Poste;1845;Noville;VD;CH;association;109;Français;Noville;;485127711;Association Multisite des Ecoles de Musique;101521405;0.5555555555555556|1.0;0.851851852;;pas RC;rien trouvé;OUI;;;
DVT;17102;"Harmonie ""La Jurassienne"" Le Sentier";c/o Mlle Pascale Meylan;;1347;Le Solliat;VD;CH;association;109;Français;Le Sentier;;381105124;Harmonie La Jurassienne;101465104;0.6388888888888888|1.0;0.87962963;;pas RC;CHE-381.105.124;NON;;;
DVT;17162;Association Paroissiale catholique de Notre-Dame;Secrétariat Général;Rue du Valentin 9;1004;Lausanne Secteur de dist.;VD;CH;association;109;Français;Lausanne;;111740923;Association Immobilière Catholique de Prilly;101668031;0.625|1.0;0.875;;pas RC;CHE-108.251.374;NON;;;
DVT;17451;Association Suisse Eisenbahn-Amateur ASEA;c/o M. Rolf Hess;Delsbergerallee 82;4053;Basel Zustellkreis;VD;CH;association;109;Français;Ollon;;102481183;Associations Suisse des Transports AST;101471823;0.6097560975609756|1.0;0.869918699;;pas RC;rien trouvé;OUI;;;
DVT;17453;Association paroisse catholique St-Amédée;A l'att. M. Philippe Suter;Route du Pavement 97;1018;Lausanne;VD;CH;association;109;Français;Lausanne;;108251374;Association Paroisse Notre Dame;101613980;0.6097560975609756|1.0;0.869918699;;pas RC;rien trouvé;OUI;;;
DVT;17492;Association professionnelle des gendarmes vaudois, (A.P.G.V.);;Centre Blécherette;1014;Lausanne Adm cant VD;VD;CH;association;109;Français;Lausanne;;104095520;Association Professionelle des Detectives Privés Suisses;101566227;0.5737704918032787|1.0;0.857923497;;pas RC;rien trouvé;OUI;;;
DVT;19160;Association Catholique du St-Rédempteur;;Rue Orient-Ville 16;1005;Lausanne Secteur de dist.;VD;CH;association;109;Français;Lausanne;;103913883;Association Vaudoise du Coin de Terre;101608778;0.5897435897435898|1.0;0.863247863;;pas RC;rien trouvé;OUI;;;
DVT;19167;Association Vaudoise des Unions Chrétiennes Féminines (UCF);;Rue Pré-du-Marché 15;1004;Lausanne Secteur de dist.;VD;CH;association;109;Français;Lausanne;;167001364;Association Vaudoise des maîtres de gymnase (AVMG);101587208;0.5593220338983051|1.0;0.853107345;;pas RC;CHE-106.097.932;NON;;;
DVT;19711;"Société de Tir ""Les Amis Réunis""";p.a. M. Edouard Foretay;Avenue de Rochettaz 7;1009;Pully;VD;CH;association;109;Français;Pully;;293028323;Société de Tir Aux Armes de Guerre;101501101;0.5882352941176471|1.0;0.862745098;;pas RC;rien trouvé;OUI;;;
DVT;19745;Société de Tir des Mousquetaires;c/o M. Gérald Richon;Route du Pré-au-Comte 11;1844;Villeneuve VD;VD;CH;association;109;Français;La Tour-de-P.;;113498880;Société de Tir de Terre-Sainte;101497065;0.625|1.0;0.875;;pas RC;rien trouvé;OUI;;;
DVT;19795;Association paroissiale catholique de St-Amédée;Cure catholique;Avenue de Bussy 3;1510;Moudon;VD;CH;association;109;Français;Moudon;;111740923;Association Immobilière Catholique de Prilly;101668031;0.6170212765957447|1.0;0.872340426;;pas RC;rien trouvé;OUI;;;
DVT;19826;Société de Zofingue, Section Vaudoise;pa Fiduciaire J.-C. Mugny;Case postale 687;1001;Lausanne;VD;CH;association;109;Français;Lausanne;;113499649;Société de pétanque La Villeneuvoise;101512211;0.5675675675675675|1.0;0.855855856;;pas RC;CHE-104.186.252;NON;;;
DVT;19827;Fédération suisse des Amis de la Nature Section de Montreux-Vevey;c/o M. Jean-Bernard Kammer;Av. de Collonge 18 / CP 53;1820;Territet;VD;CH;association;109;Français;Montreux;;302774769;Fédération Suisse des Amis de la Nature;101596250;0.5846153846153845|1.0;0.861538462;;pas RC;rien trouvé;OUI;;;
DVT;19861;Association du Vacherin Mont-d'Or;Centrale du Vacherin Mont-d'Or;Rue Grenade 40;1510;Moudon;VD;CH;association;109;Français;Moudon;;103649284;Association de la Ferme Menthee Afm;101419189;0.6|1.0;0.866666667;;pas RC, ctrl dossier OK;CHE-101.369.514;NON;;;
SNB+DVT;19908;Association Mutuelle La Mouette;p.a. Fiduciaire J. Ineichen SA;Case postale 1316;1820;Montreux;VD;CH;association;109;Français;Montreux;;100486732;Association culturelle de Bonmont;101657269;0.6666666666666667|1.0;0.888888889;;Pas RC;rien trouvé;OUI;;;
SNB;20096;Société de Tir Grütli Romand;c/o M. Pascal Blanc;Chemin du Rallet;1037;Etagnières;VD;CH;association;109;Français;Lausanne;;100249675;Société de Tir Guillaume Tell;101560757;0.5862068965517242|1.0;0.862068966;;Fin 1998 + pas RC;Néant;NON;;;
SNB ;20223;Association des Maîtres Coiffeurs et Coiffeuses de Lausanne et Environs;c/o Mme Ariane Annen;Route de Lausanne 60A;1052;Le Mont-sur-Lausanne;VD;CH;association;109;Français;Lausanne;;347810605;Association Maître-coiffeurs Lausanne & Environs;101600502;0.6338028169014085|1.0;0.877934272;;pas RC;CHE-347.810.605;NON;;;
SNB+DVT;20264;Société de Tir du Cordon Vert et Blanc;c/o M. Nicolas Mignot;Praz-Simon 3;1807;Blonay;VD;CH;association;109;Français;Blonay;;113500100;Société de tir de Glion-Veytaux;101541472;0.5789473684210527|1.0;0.859649123;;pas RC;rien trouvé;OUI;;;
SNB+DVT;20521;Association des copropriétaires de la Montagne de Perche;c/o M. Claude Pittet;;1866;La Forclaz VD;VD;CH;association;109;Français;Ormont-D.sous;;111935473;Association des propriétaires forestiers du triage de Suchy;101434323;0.6440677966101696|1.0;0.881355932;;pas RC;rien trouvé;OUI;;;
SNB+DVT;20798;Société de la Science Chrétienne;Case postale 294;Avenue de la Gare 10;1880;Bex;VD;CH;association;109;Français;Bex;;101659751;Société de laiterie de Chernex;101582900;0.625|1.0;0.875;;pas RC;rien trouvé;OUI;;;
SNB;20836;Syndicat d'alpage de St-George;;;1188;St-George;VD;CH;association;109;Français;Saint-George;;350154575;Syndicat d'Alpage de St-Barthelemy;101577483;0.7058823529411764|1.0;0.901960784;;Fin 1998 + pas RC;Néant;NON;;;
SNB+DVT;20860;Association Paroissiale Catholique du district d'Avenches;c/o M. Jean-Marie Faivre;Route de Montet 9;1588;Cudrefin;VD;CH;association;109;Français;Avenches;;180312085;Association Laverie du District d'Aigle;101448697;0.5614035087719298|1.0;0.85380117;;pas RC;rien trouvé;OUI;;;
SNB+DVT;20881;Société de l'Abbaye des Patriotes;c/o M. Willy Jordan;Case postale 72;1024;Ecublens VD;VD;CH;association;109;Français;Ecublens VD;;103308995;Société de laiterie de Bottens;101603616;0.6060606060606061|1.0;0.868686869;;pas RC;rien trouvé;OUI;;;
SNB;20993;Association Vaudoise du Commerce et de l'Art photographique;p.a. Centre Patronal;Route du Lac 2;1094;Paudex;VD;CH;association;109;Français;Paudex;;333626432;Association des amis du Musée de l'appareil photographique;101427363;0.5932203389830508|1.0;0.86440678;;Fin 2008 + pas RC;Néant;NON;;;
SNB;21017;Association romande pour le commerce et l'art photographique;p.a. Centre Patronal;Route du Lac 2;1094;Paudex;VD;CH;association;109;Français;Lausanne;;333626432;Association des amis du Musée de l'appareil photographique;101427363;0.5666666666666667|1.0;0.855555556;;Fin 2008 + pas RC;Néant;NON;;;
SNB+DVT;21041;Société cantonale vaudoise du génie;c/o M. P.-Alain Dizerens;;1063;Chapelle-sur-Moudon;VD;CH;association;109;Français;Lausanne;;106626368;Société Coopérative Vaudoise d'Alpage;101568045;0.5675675675675675|1.0;0.855855856;;pas RC;rien trouvé;OUI;;;
SNB+DVT;21056;Syndicat Romand des antiquaires;p.a. Centre Patronal;Route du Lac 2;1094;Paudex;VD;CH;association;109;Français;Lausanne;;103841781;Syndicat Vaudois des Antiquaires Lausanne;101550995;0.5853658536585367|1.0;0.861788618;;pas RC, ctrl dossier OK;CHE-103.841.781;NON;;;
SNB+DVT;21348;Association vaudoise des maîtres bouchers et charcutiers;p.a. Centre Patronal;Case postale 1215;1001;Lausanne;VD;CH;association;109;Français;Lausanne;;231931757;Association Vaudoise des Maîtres Bouchers et Charcutiers, Centre patronal;101645797;0.7123287671232876|1.0;0.904109589;;pas RC;CHE-231.931.757;NON;;;
SNB;21350;Association suisse romandes des diffuseurs et distributeurs de livres;p.a. Centre Patronal;Route du Lac 2;1094;Paudex;VD;CH;association;109;Français;Paudex;;104038634;Association Suisse Romande des Diffuseurs de Livres;101591968;0.6811594202898551|1.0;0.893719807;;Fin 2002 + pas RC;Néant;NON;;;
SNB+DVT;21353;Groupement Suisse de l'Industrie Mécanique;p.a. Centre Patronal;Route du Lac 2;1094;Paudex;VD;CH;association;109;Français;Paudex;;102649672;Groupement romand de l'informatique;101538088;0.5714285714285714|1.0;0.857142857;;pas RC;rien trouvé;OUI;;;
SNB+DVT;21356;Association Vaudoise des Installateurs Concessionnaires en Radio et Télévision;p.a. Centre Patronal;Case postale 1215;1001;Lausanne;VD;CH;association;109;Français;Lausanne;;402699482;Association Vaudoise des installateurs de chauffage et ventilation (AVCV);101603754;0.5769230769230769|1.0;0.858974359;;pas RC;CHE-101.783.411;NON;;;
SNB;21988;Association du Marché de l'oeuf décoré de Suisse Romande;c/o Mme Cornelia Frossard;Rte de la Dôle 15;1276;Gingins;VD;CH;association;109;Français;Nyon;;408738399;Association de l'Ecole de musique franco-serbe de Suisse Romande;101619094;0.65625|1.0;0.885416667;;Fin 2007 + pas RC;Néant;NON;;;
SNB+DVT;22002;Société de tir des Arquebusiers de Vevey;c/o M. Laurent Cochard;Chemin de Fontenailles 7;1867;St-Triphon;VD;CH;association;109;Français;Vevey;;293028323;Société de Tir Aux Armes de Guerre;101501101;0.575|1.0;0.858333333;;pas RC;rien trouvé;OUI;;;
SNB+DVT;22011;Association bâtiment UCJG-Vevey;c/o M. Yves Loretan;Case postale 1119;1800;Vevey 1;VD;CH;association;109;Français;Vevey;;113479078;Association Oriental Vevey;101422231;0.6774193548387097|1.0;0.892473118;;pas RC, ctrl dossier OK;CHE-217.612.974;NON;;;
DVT;22034;Institutions sociales des Transports publics de la région Lausannoise;;Avenue de Morges;1004;Lausanne Secteur de dist.;VD;CH;fondation;110;Français;Lausanne;;102033821;Institutions sociales de l'industrie vaudoise de la construction;101667365;0.5652173913043479|1.0;0.855072464;;Fin 1998 + pas RC;Néant;NON;;;
SNB+DVT;22071;Eglise Evangélique Missionnaire;;;1522;Lucens;VD;CH;association;109;Français;Lucens;;115098037;Eglise Evangélique des Amandiers;101548523;0.71875|1.0;0.90625;;pas RC, ctrl dossier OK;CHE-104.293.600;NON;;;
DVT;22166;Fondation de famille Fridette Amsler;;;1800;Vevey;VD;CH;fondation;110;Français;Vevey;;110382235;Fondation Emile et Odette Moser;101554627;0.6388888888888888|1.0;0.87962963;;pas RC;rien trouvé;OUI;;;
SNB+DVT;22351;Association Boule Yverdon-les-Bains;ASSOCIATION BOULE;CP 514;1400;Yverdon-les-Bains;VD;CH;association;109;Français;Yverdon-les-B.;;414901360;Association Le Coeur et les Mains;101590388;0.6285714285714286|1.0;0.876190476;;pas RC;rien trouvé;OUI;;;
DVT;22398;Fondation de Famille Hélène Paillard;c/o M. Jean-Thierry Langer;Chemin de la Magnenette 69;1350;Orbe;VD;CH;fondation;110;Français;Lausanne;;110119206;Fondation Georges Paillard;101556303;0.5833333333333333|1.0;0.861111111;;Fin 2011 + pas RC;Néant;NON;;;
SNB+DVT;22425;Paroisse catholique de Grandson et environs;;Ruelle des Renards 6;1422;Grandson;VD;CH;association;109;Français;Grandson;;190867344;Paroisse Catholique de Clarens;101429377;0.6046511627906976|1.0;0.868217054;;pas RC;rien trouvé;OUI;;;
SNB+DVT;22582;Ski-Club Les Robaleux;c/o Mme Sylvie Blétry;Les Ravines;1856;Corbeyrier;VD;CH;association;109;Français;Corbeyrier;;272516290;Ski Club Rolle;101434909;0.5714285714285714|1.0;0.857142857;;pas RC;rien trouvé;OUI;;;
SNB+DVT;23760;Association paroissiale catholique de Notre-Dame;;Rue de la Colombière 18;1260;Nyon;VD;CH;association;109;Français;Nyon;;111740923;Association Immobilière Catholique de Prilly;101668031;0.625|1.0;0.875;;pas RC;rien trouvé;OUI;;;
SNB;23867;Société de Laiterie d'Echichens en liquidation;;;1112;Echichens;VD;CH;association;109;Français;Echichens;;101960564;Société de Laiterie d'Avenches en liquidation;101447397;0.8913043478260869|1.0;0.963768116;;Fin 1993 + Radiée RC ;néant;NON;;;
SNB+DVT;23932;Association Fraternité Troubadours de Noël;;Avenue de Savoie 8;1170;Aubonne;VD;CH;association;109;Français;Aubonne;;113741431;Association des créateurs de mode;101501927;0.5714285714285714|1.0;0.857142857;;pas RC;rien trouvé;OUI;;;
SNB+DVT;23953;Association des Amis de l'Orchestre de Chambre de Lausanne;c/o M. Edgar Philippin;Place St-François 1 / C.P.7191;1002;Lausanne 2 Cases;VD;CH;association;109;Français;Lausanne;;113247467;Association des Amis du Musée des Beaux-Arts de Lausanne;101550161;0.6724137931034483|1.0;0.890804598;;pas RC;rien trouvé;OUI;;;
DVT;23956;Fondation en faveur de l'église orthodoxe russe de Vevey;PA Mme Olga Englert;Rue des Communaux 12;1800;Vevey;VD;CH;fondation;110;Français;Vevey;;109701948;Fondation en faveur de l'hôpital suisse de Paris;101587218;0.625|1.0;0.875;;Fin 2007 + pas RC;Néant;NON;;;
SNB+DVT;24043;Association suisse de sous- officiers,sect.Yverdon et environs;c/o Mme Anne-Christine Chenaux;Chemin de la Golaz 2;1462;Yvonand;VD;CH;association;109;Français;Yverdon-les-B.;;407296387;Association Suisse des Sous-Officiers de Lausanne ASSO;101591610;0.5806451612903225|1.0;0.860215054;;pas RC;rien trouvé;OUI;;;
SNB+DVT;24059;Société d'exploitation de la cantine de Valeyres-s/Rances;c/o Mme Nicole Conrad;Rue Marmalaz 3;1358;Valeyres-sous-Rances;VD;CH;association;109;Français;Valeyres-s-Ra.;;106278244;Société d'Exploitation de la Maison du Blé et du Pain S.A.;101639792;0.5862068965517242|1.0;0.862068966;;pas RC;rien trouvé;OUI;;;
DVT;24066;Eglise de scientologie, Mission du Léman;;Rue Mauborget 3;1003;Lausanne Secteur de dist.;VD;CH;fondation;110;Français;Lausanne;;106509722;Eglise de scientologie de Lausanne;101619610;0.625|1.0;0.875;;Fin 1994 + pas RC;Néant;NON;;;
SNB+DVT;24125;Association Paroissiale Catholique de Saint-Joseph;;Avenue de Morges 66;1004;Lausanne Secteur de dist.;VD;CH;association;109;Français;Lausanne;;111740923;Association Immobilière Catholique de Prilly;101668031;0.62|1.0;0.873333333;;pas RC;rien trouvé;OUI;;;
SNB;24708;"Association du jardin d'enfants ""Les Moussaillons""";;;1083;Mézières VD;VD;CH;association;109;Français;Vucherens;;352986701;Association du Jardin d'enfants La Boîte à Malice;101493141;0.6599999999999999|1.0;0.886666667;;Fin 2002 + pas RC;Néant;NON;;;
SNB;24806;Association Montagne du Lautaret;p.a. Mme Marianne Besson;Rue des Vaudrès 11;1815;Clarens;VD;CH;association;109;Français;Montreux;;171560572;Association Mémoire de Lausanne;101576079;0.65625|1.0;0.885416667;;Fin 1997 + pas RC;Néant;NON;;;
SNB;24825;"""Visions du Réel"" Festival International du cinéma documentaire";;Case postale 593;1260;Nyon;VD;CH;association;109;Français;Nyon;;102995619;Visions du Reel, Festival International de Cinéma;101519449;0.7142857142857143|1.0;0.904761905;;Fin 2015 + pas RC;Néant;NON;;;
SNB+DVT;24831;Société de Tir Noville-Rennaz-Chessel;c/o M. Michel Lohri;Rue de l' Ouchettaz 6;1846;Chessel;VD;CH;association;109;Français;Noville;;100249675;Société de Tir Guillaume Tell;101560757;0.5675675675675675|1.0;0.855855856;;pas RC;rien trouvé;OUI;;;
SNB+DVT;24838;Société vaudoise des pêcheurs en rivière Section de Montreux;c/o M. Michel Dupertuis;Rue du Carroz 28;1867;Ollon VD;VD;CH;association;109;Français;Roche VD;;103644631;Société Vaudoise des Pêcheurs En Rivière / le Moulinet;101643966;0.7|1.0;0.9;;pas RC;rien trouvé;OUI;;;
SNB+DVT;24843;Paroisse Catholique Romaine d'Ollon;c/o Mme Maria Boulès;Chemin en Sendey 12;1867;Ollon VD;VD;CH;association;109;Français;Ollon;;190867344;Paroisse Catholique de Clarens;101429377;0.6285714285714286|1.0;0.876190476;;pas RC;rien trouvé;OUI;;;
SNB+DVT;24901;Association Paroissiale Catholique du Sacré-Coeur;;Chemin de Beau-Rivage 1-3;1006;Lausanne Secteur de dist.;VD;CH;association;109;Français;Lausanne;;111740923;Association Immobilière Catholique de Prilly;101668031;0.6122448979591837|1.0;0.870748299;;pas RC;rien trouvé;OUI;;;
SNB+DVT;24902;Mission catholique de langue anglaise;;Avenue de Béthusy 54 A;1012;Lausanne;VD;CH;association;109;Français;Lausanne;;114319566;Mission Catholique Espagnole & Italienne;101653573;0.6|1.0;0.866666667;;pas RC;rien trouvé;OUI;;;
DVT;25117;Fondation des constructions Paroissiales Catholiques;;Chemin des Mouettes 4;1007;Lausanne Secteur de dist.;VD;CH;fondation;110;Français;Lausanne;;109778448;Fondation de prévoyance des Paroisses et Institutions Catholiques;101584480;0.5538461538461539|1.0;0.851282051;;pas RC;rien trouvé;OUI;;;
