# Fichier généré (à part cette partie de commentaires...) à partir de la requête SQL suivante
#
# SELECT ENT.NUMERO AS ENT_ID, ENT.NUMERO_ENTREPRISE AS ENT_CANTONAL_ID, ETB.NUMERO AS ETB_PRN_ID, ETB.NUMERO_ETABLISSEMENT AS ETB_PRN_CANTONAL_ID
# FROM UNIREG.TIERS ENT
# JOIN UNIREG.RAPPORT_ENTRE_TIERS AE ON AE.ANNULATION_DATE IS NULL AND AE.RAPPORT_ENTRE_TIERS_TYPE='ActiviteEconomique' AND AE.ETB_PRINCIPAL=1 AND AE.TIERS_SUJET_ID=ENT.NUMERO
# JOIN UNIREG.TIERS ETB ON AE.TIERS_OBJET_ID=ETB.NUMERO
# WHERE ENT.NUMERO < 100000
# ORDER BY ENT.NUMERO;
#
ENT_ID;ENT_CANTONAL_ID;ETB_PRN_ID;ETB_PRN_CANTONAL_ID
78;101450637;3000285;101033192
79;101453408;3000289;101074414
80;101543344;3000296;101059899
81;;3000324;
82;101466669;3000299;101014942
83;101440231;3000300;101004060
84;;3000322;
85;101502501;3000331;101083443
86;101469908;3000325;100995434
87;;3000337;
88;101657781;3000332;100996465
89;101486101;3000333;100982927
90;101457940;3000334;101033037
91;101577009;3000364;100996148
92;;3000336;
93;;3000338;
94;101484153;3000345;101009180
95;101569857;3000105;101021234
97;101470664;3000346;100983463
98;;3000348;
99;101659727;3000352;101068094
100;101496925;3000351;101083284
101;101481237;3000357;101072525
102;;3000355;
103;101447801;3000359;101030904
104;101497071;3000361;101048109
105;101576625;3000368;101018834
106;;3000369;
107;101670282;3000371;101392605
108;101434329;3000370;101075307
109;;3000374;
110;101502641;3000373;100983511
111;;3000372;
112;101576327;3000379;101027954
113;101440891;3000380;101048224
114;101575757;3000378;101046726
115;;3000376;
116;101667991;3000377;101016674
117;;3000381;
118;101575819;3000038;100991222
119;101497145;3000384;101067207
120;101589314;3000386;101017275
121;101552405;3000397;101002417
122;;3000387;
123;;3000390;
124;;3000389;
125;101443595;3000398;100990830
126;101616374;3000401;101000571
127;101565177;3000400;100994813
128;101555397;3000039;101030314
129;;3000404;
130;101446649;3000406;101038164
131;101602340;3000408;101062818
132;101655751;3000414;101081462
133;;3000418;
134;101630874;3000413;100996469
135;;3000323;
136;101482479;3000416;101012005
137;101542338;3000417;101083156
138;;3000419;
139;101545769;3000420;100994043
140;101656379;3000424;101055305
141;101640368;3000426;101054003
142;;3000421;
143;101657331;3000427;101075220
144;101640174;3000428;100983579
145;101663539;3000425;101024176
146;101624706;3000433;101005528
147;101661149;3000435;101011306
148;101588928;3000438;101082414
149;101538662;3000437;101015781
150;;3000436;
151;;3000444;
152;;3000439;
153;;3000440;
154;101571547;3000443;101055798
155;;3000442;
156;101661483;3000445;101015298
157;101662529;3000446;101080346
158;101656285;3000447;101063171
159;101663577;3000450;101026685
160;;3000448;
161;101664577;3000449;101082424
162;101607266;3000451;101009942
163;101667543;3000452;101009938
164;;3000453;
165;101655857;3000454;101072261
166;101505521;3000458;101011669
167;;3000455;
168;101656287;3000459;100995228
169;101661783;3000463;101050536
170;101666847;3000464;100987253
171;101665327;3000462;101024088
172;;3000466;
173;101658785;3000468;100996443
174;101657159;3000467;101067062
175;101661451;3000471;101058101
176;;3000472;
177;101507035;3000470;101050458
178;;3000473;
179;;3000474;
180;101664613;3000484;101010315
181;;3000479;
182;101664623;3000481;101061233
183;;3000482;
184;;3000483;
185;101564713;3000486;101052138
186;101655859;3000487;101055684
187;;3000485;
188;;3000488;
189;101657123;3000490;101015167
190;101660835;3000491;101020690
191;101659553;3000495;101077156
192;101651485;3000502;101001306
193;;3000493;
194;101661367;3000494;101031061
195;;3000497;
196;101659155;3000498;101049524
197;;3000499;
198;101662448;3000501;101002278
199;101455905;3000503;101020561
200;101667393;3000504;101058760
201;101417189;3000508;100998921
202;101439825;3000511;101073206
203;101502949;3000516;100988728
204;101452643;3000510;101034629
205;101451362;3000517;100983097
206;101574359;3000513;101069712
207;101456900;3000533;101071793
208;101741803;3000514;101741804
209;101466993;3000518;101062520
210;101482143;3000519;101034752
211;;3000520;
212;101417918;3000532;101002474
213;101484735;3000530;101021616
214;;3000522;
215;101609278;3000028;101075988
216;101579167;3000531;101024457
217;101735761;3000555;101735762
218;101582726;3000537;100983071
219;;3000544;
220;101542588;3000547;100986655
221;101562467;3000536;101024456
222;101487895;3000552;101009074
223;;3000598;
224;;3000561;
225;101657237;3000563;100995016
226;101488079;3000566;101062492
227;101512197;3000570;101012544
228;101536480;3000596;101015883
229;;3000572;
231;;3000575;
232;;3000576;
233;;3000335;
234;;3000583;
235;;3000590;
236;101514208;3000592;100984050
237;101495401;3000605;101005844
238;;3000595;
239;;3000599;
240;101466937;3000604;100997124
241;101578553;3000606;101015949
242;;3000637;
243;101462445;3000609;101034020
244;101468160;3000610;100984935
245;101431425;3000618;100985473
246;101525565;3000639;101013685
247;;3000654;
248;101471046;3000620;101034397
249;101742457;3000623;101742458
250;101470260;3000624;101013133
251;;3000626;
252;;3000629;
253;101518552;3000634;101031245
254;;3000657;
255;101438361;3000642;101056318
256;101521568;3000641;101023918
257;101573443;3000652;101009284
258;;3000649;
259;101510012;3000694;101019608
260;;3000681;
261;101620858;3000666;101054410
262;101611830;3000664;101102211
263;101493983;3000721;100982992
264;101593638;3000678;101044464
265;101475868;3000689;101009214
266;101669805;3000702;101391918
267;101498839;3000714;101056880
268;101449237;3000710;100983460
269;101460552;3000711;101019600
270;101480745;3000720;101074995
271;101433191;3000724;100986011
272;101450657;3000722;101059132
273;101448363;3000713;101044807
274;;3000729;
275;101508721;3000727;101041516
276;101613740;3000107;101079480
277;;3000730;
278;;3000728;
279;101552859;3000733;101063182
280;;3000739;
281;101504367;3000732;101022860
282;;3000743;
283;;3000736;
284;101514316;3000746;100997009
285;101738017;3000744;101738018
286;101567239;3000752;101044057
287;101662303;3000750;100982896
288;101587720;3000755;101021840
289;;3000759;
290;101642586;3000760;101051304
291;101466527;3000766;101052523
292;101441907;3000765;101064658
293;101629824;3000763;100985102
294;101567899;3000764;100982600
295;101447359;3000767;101044061
296;101639402;3000778;100997321
297;;3000772;
298;;3000779;
299;101542750;3000790;101058916
300;101663507;3000786;101047207
301;101473690;3000787;100995839
302;;3000796;
303;101417471;3000789;101060726
304;101623398;3000791;101009833
305;101591838;3000792;101044409
306;101629895;3000795;100997376
307;101507021;3000808;101046422
308;;3000797;
309;;3000800;
310;;3000801;
311;101485269;3000805;101013713
312;101525515;3000803;101022009
313;;3000804;
314;101433087;3000806;101062579
315;;3000807;
316;101420038;3000810;100986659
317;101572815;3000811;100983234
318;101499387;3000809;101000723
319;;3000817;
320;101463122;3000819;101028876
321;;3000823;
322;101491607;3000827;100986089
323;101518810;3000828;101004567
324;101633662;3000832;101057084
325;101632950;3000829;101071284
326;101533739;3000831;101040269
327;101526776;3000837;101006768
328;101440639;3000833;101027400
329;101605722;3000834;101009957
330;;3000836;
331;101741442;3000840;101741443
332;;3000839;
333;101623116;3000841;101063292
334;;3000861;
335;101652143;3000847;101049591
336;101640772;3000845;101072340
337;101653301;3000848;101016973
338;101553849;3000850;101041950
339;101636566;3000862;101000251
340;101646405;3000851;101066001
341;101651513;3000856;101031132
342;101640328;3000859;101060103
343;101552717;3000860;101018441
344;101627292;3000869;101032021
345;101647977;3000875;100995642
346;101645461;3000872;101005299
347;;3000877;
348;;3000878;
349;101566297;3000879;101052836
350;;3000885;
351;;3000902;
352;;3000890;
353;;3000888;
354;101452952;3000892;101014144
355;101663363;3000893;101010672
356;101487911;3000914;100984700
357;;3000901;
358;;3000905;
359;101638928;3000907;101010444
360;;3000906;
361;;3000910;
362;101594050;3000912;101019400
363;101498059;3000920;101019839
364;;3000916;
365;101525008;3000927;101018296
366;101468688;3000925;100997677
367;101587538;3000921;101225545
368;101559255;3000928;101072567
369;101479411;3000930;101041344
370;;3000931;
371;101612552;3000957;100987123
372;101444017;3000937;101073607
373;101635610;3000952;101061143
374;101650199;3000943;100995840
375;101647835;3001101;101028565
376;101539690;3000968;101013192
377;101453951;3000955;101081699
378;101444011;3001105;101023916
379;101479503;3000974;101029157
380;101500487;3000977;101000884
381;101455258;3000983;101060735
382;101627778;3000881;101050313
383;101485657;3000985;101044981
384;101479055;3000991;101279069
385;101456786;3000989;101006656
386;101608338;3001128;101023277
387;101549805;3001000;101013432
388;101492857;3001107;101028386
389;;3001103;
390;;3001104;
391;101454636;3001117;101016019
392;101502031;3001112;100994912
393;101488011;3000883;101003981
394;101630116;3001111;101034643
395;101477405;3001115;101018553
396;101431679;3001116;101037838
397;;3001122;
398;;3001123;
399;;3001124;
400;101588988;3001125;101019471
401;101638766;3000653;101051121
402;101460213;3001130;101010820
403;101458846;3001137;101030840
404;101505257;3001131;101068454
405;101448087;3001134;101002178
406;101455336;3001136;101033194
407;101437807;3001140;101075651
408;101546767;3001139;100982377
409;;3001145;
410;;3001143;
411;101610840;3001146;101070942
412;;3001147;
413;101464671;3001152;100987277
414;;3001149;
415;101462048;3001156;101071698
416;101543470;3001158;101011684
417;;3001154;
418;;3001155;
419;;3001162;
420;101651399;3001161;100998291
421;;3001159;
422;101607626;3001165;101072993
423;;3001166;
424;;3001168;
425;101439377;3001174;101027606
426;101669698;3000415;101390718
427;;3001169;
428;;3001170;
429;101504893;3001173;100997444
430;101545539;3000538;101068898
431;101442637;3001172;100997668
432;101637502;3001178;101056613
433;;3001176;
434;;3001177;
435;101586570;3001179;101040397
436;101418060;3001182;101012248
437;101577417;3001181;101003733
438;101645911;3001184;101018714
439;101433735;3001187;101044008
440;;3001192;
441;;3001188;
442;;3001189;
443;;3001191;
444;101669300;3001207;101392624
445;;3001193;
446;101420956;3001195;101067237
447;101653881;3001196;100999425
448;;3001197;
449;101460075;3001198;101063069
450;101443383;3001201;100994374
451;101474352;3001202;100985247
452;;3001204;
453;101474457;3001206;101025566
454;101438215;3001205;101063453
455;101551701;3001210;101045973
456;;3001208;
457;101629928;3001211;101020848
458;101461713;3001212;101074145
459;101420932;3001214;101073908
460;101626444;3001217;101011260
461;101440709;3001218;101064548
462;101485095;3001219;101069012
463;;3001215;
464;101451178;3001216;101048201
465;101495925;3001238;101046056
466;101492017;3001224;101049235
467;101489331;3001225;101043522
468;101452461;3001223;101016564
469;101444799;3001226;101039600
470;;3001230;
471;;3001228;
472;;3001227;
473;;3001229;
474;101596540;3001232;100995195
475;101589080;3001233;101062575
476;;3001231;
477;;3001234;
478;;3001235;
479;101518840;3001239;101030440
480;101478380;3001245;100984205
481;101608974;3001244;101049698
482;101601756;3001242;101010758
483;101615796;3001247;100998509
484;101475253;3001256;100988606
485;101471899;3001259;101068999
486;101647557;3001250;101017421
487;;3001251;
488;;3001253;
489;;3001255;
490;101488113;3001254;101067902
491;101552467;3001258;100984892
492;101598880;3001260;101016657
493;101665189;3001270;101015230
494;101462505;3001264;100997923
495;101574847;3001265;101009088
496;;3001266;
497;;3001271;
498;;3001267;
499;;3001268;
500;101552063;3001273;101061640
501;;3001280;
502;101432521;3001315;101032643
503;;3001276;
504;;3001279;
505;;3001287;
506;101587378;3001288;100986153
507;;3001290;
508;101633986;3001300;101014151
509;;3001291;
510;101498665;3001292;101055753
511;101646173;3001186;100987784
512;;3001303;
513;;3001301;
514;;3001302;
515;101492599;3001306;101015387
516;101497581;3001305;100982516
517;101491409;3001350;101039793
518;101481541;3001311;101017365
519;;3001314;
520;101612636;3001326;101017256
521;;3001316;
522;101563509;3000540;101082980
523;101599190;3001323;101040166
524;101499029;3001339;101022253
525;101482579;3001338;101044979
526;;3001346;
527;101463771;3001347;100982517
528;101736803;3001348;101736804
529;101479939;3001352;101012040
530;101479673;3001355;101039094
531;;3000239;
532;101524196;3001354;101053690
534;101493669;3001360;101040084
535;101480869;3001277;101003436
536;101535198;3001282;100997105
537;101480495;3001356;101007405
538;101537300;3001359;101013849
539;101625526;3001361;101029805
540;101451036;3001367;101028528
541;101463865;3001375;101013968
542;;3001368;
543;101543776;3001370;100983462
544;101619418;3001372;101077758
545;101505353;3001373;101009086
546;101481505;3001374;101026631
547;101497301;3001379;100991683
548;101492227;3001376;101014249
549;101419704;3001403;101057978
550;;3001420;
551;;3001381;
552;;3001383;
553;101497821;3001320;101003080
554;;3001384;
555;101491153;3001385;101001524
556;101591388;3001386;101006375
557;;3001389;
558;101627388;3001396;101075633
559;101496697;3001390;101072080
560;101474499;3001426;101027870
561;;3001411;
562;101507803;3001413;101020097
563;101521389;3001561;101012201
564;101592850;3001423;101076584
565;;3001422;
566;101452147;3001424;100982258
567;;3001425;
568;101495927;3001429;101014080
569;101518048;3001427;101062978
570;101482081;3001428;100983373
571;101421028;3001430;100988345
572;;3001459;
573;;3001437;
574;101576739;3001440;101055253
575;101543030;3001455;100983617
576;;3001443;
577;;3001444;
578;;3001481;
579;101428303;3001469;101061500
580;101435669;3001472;100999401
581;101466965;3001473;101075603
582;101542288;3001479;101041787
583;101624268;3000055;101039527
584;;3001573;
585;101574611;3001480;101015592
586;;3001482;
587;101470158;3001433;101010681
588;;3001581;
589;;3001498;
590;101518758;3001499;101026771
591;101662723;3001505;101070603
592;101453785;3001508;101062005
593;101581692;3001514;101067474
594;101632266;3001518;101022434
595;101529526;3001521;101063201
596;;3001583;
599;101476841;3001577;101019634
600;101458393;3001580;101066815
601;;3001582;
602;101447935;3002033;101020208
603;101458234;3001574;101002443
604;101489231;3001585;100983395
605;;3001587;
606;101523070;3001591;101071442
607;101566191;3001590;101028359
608;101577317;3001593;101015106
609;;3001592;
610;101525897;3001599;101044194
611;101632238;3001596;101001614
612;101634466;3001597;101043555
613;;3001598;
614;101632480;3001603;101045092
615;101575421;3001601;101034142
616;101458654;3001615;101011727
617;101650175;3001646;101075331
618;101478833;3001630;101082445
619;101640188;3001631;101044427
620;101544932;3001641;101044163
621;101525435;3001642;100996926
622;;3001645;
623;101501773;3001660;101024722
624;;3001647;
625;;3001650;
626;101646469;3001656;101064811
627;101472751;3001655;101034697
628;101634952;3001658;101031657
629;;3001662;
630;101594744;3001663;101042568
631;;3001669;
632;101528790;3001675;101017722
633;101576673;3001676;101041388
634;;3001673;
635;101441543;3001680;101051251
636;101607424;3001684;100988207
637;101530443;3001686;101080820
638;;3001688;
639;;3001690;
640;101484381;3001693;101021016
641;101551151;3001699;101014499
642;101509415;3002038;101035807
643;101646359;3001698;101046442
644;101633502;3001709;100997357
645;101516189;3001708;101018883
646;101529970;3001717;101040778
647;101454376;3001721;101044966
648;;3001725;
649;101506179;3001727;101043157
650;101595496;3001731;101064421
651;101638966;3001738;100994395
652;101524302;3001744;101032141
653;;3001743;
654;;3001768;
655;;3002150;
656;101506547;3001778;101007094
657;101742427;3001782;101742428
658;101459883;3001808;101056981
659;101606552;3002052;101034483
660;;3002037;
661;101478615;3002039;101002783
662;101645805;3002041;101014744
663;101596228;3002043;101048613
664;101533747;3002045;101077713
665;;3002380;
666;101645733;3002157;101059758
667;;3002151;
668;101516151;3002154;101019768
669;101641254;3002158;101060949
670;101508659;3002156;101060920
671;101448969;3002161;101074530
672;101649115;3002162;101043710
673;;3002168;
674;;3002164;
675;;3002165;
676;101638678;3002171;100995002
677;;3002209;
678;101641532;3002172;100983398
679;101624824;3002177;101013724
680;;3002184;
681;101556373;3002179;101017825
682;;3002182;
683;;3002223;
684;;3002186;
685;101508055;3002187;100994808
686;101515014;3002194;101039216
687;101521600;3002195;101049649
688;101438607;3002394;101012749
689;;3002224;
690;;3002230;
691;;3002231;
692;101586458;3002234;101069179
693;101648379;3002403;101013709
694;101514423;3002238;101033447
695;;3002242;
696;101595540;3002243;101064420
697;101594276;3002245;101019318
698;101514950;3002252;101009837
699;;3002391;
700;;3002390;
701;101509199;3002392;101027696
702;101487771;3002393;101022500
703;;3002395;
704;101477223;3002396;101037815
705;;3002400;
706;101518950;3002402;101075440
707;101501611;3002407;101035519
708;101463611;3002405;101064537
709;101575001;3001737;100988107
710;101533022;3002406;101075806
711;101474537;3002409;101028244
712;101517343;3002398;101029179
713;101519537;3002410;101072147
714;101509669;3002411;101041663
715;;3002414;
716;101483241;3002415;101078294
717;101657751;3002424;101057912
718;101485367;3002416;101052984
719;101740605;3002418;101740606
720;101608180;3002419;101010793
721;;3002420;
722;;3002432;
723;;3002422;
724;101593850;3002425;101057091
725;;3002423;
726;101499263;3002426;101073901
727;101440159;3002429;100990455
728;101431905;3002427;101022906
729;;3002430;
730;101432005;3002433;101016157
731;101501703;3002435;101019838
732;101493833;3002441;101024256
733;101445171;3002439;101074596
734;101454902;3002451;101055735
735;;3002440;
736;;3002481;
737;101482311;3002448;101064662
738;101595598;3002449;101005605
739;;3002455;
740;101656559;3002453;101000018
741;101495219;3002500;101057683
742;101472982;3002501;101027120
743;;3002463;
744;101506991;3002465;101002346
745;101508119;3002467;101012876
746;;3002496;
747;101582220;3002499;101041480
748;101470584;3002505;101056111
749;;3002503;
750;;3002504;
751;;3002524;
752;101500519;3002507;101007458
753;;3002510;
754;101519046;3002522;101011423
755;;3002515;
756;101490985;3002516;100994524
757;101449729;3002530;101002507
758;101666401;3002535;101077968
759;;3002540;
760;101520300;3002044;101058888
761;101512292;3002537;101051302
762;101606348;3002539;101003931
763;101490491;3002542;100982746
764;101434113;3002545;101025612
765;;3002541;
766;;3002546;
767;;3002543;
768;101591136;3002053;101016644
769;101475489;3002399;101037509
770;;3002548;
771;101496863;3002556;100993593
772;;3002553;
773;;3002554;
774;101510025;3002560;101019319
775;;3002555;
776;101475635;3002558;101079716
777;101579513;3002563;100985168
778;;3002562;
779;;3002561;
780;101428487;3002564;100986510
781;101426227;3002572;101023398
782;101432073;3002566;101009285
783;101542694;3002577;101053896
784;101449027;3002574;101043983
785;;3002571;
786;;3002573;
787;101420866;3002575;101013250
788;101461653;3002578;101041799
789;101515499;3002576;100994424
790;101502165;3002579;101073672
791;101451430;3002580;100994343
792;101441281;3002581;100993239
793;101433445;3002589;100984113
794;101441258;3002582;100981125
795;;3002585;
796;;3002586;
797;101498653;3002587;101057251
798;101460883;3002613;101064754
799;101533319;3002591;101032888
800;101572703;3002595;101008707
801;;3002597;
802;101506073;3002605;101066811
803;;3002603;
804;;3002606;
805;101516878;3002612;101011631
806;101627654;3002614;101044982
807;101456029;3002618;101016102
808;101580296;3002617;101009756
809;;3002616;
810;;3002620;
811;101528838;3002621;101017915
812;101438193;3002622;101003318
813;;3002624;
814;101661391;3002625;101032824
815;101423665;3002629;100995578
816;101636292;3002626;101026641
817;101575303;3002627;101044105
818;101524146;3002628;101016297
819;101590238;3002631;101064837
820;101493053;3002632;101072251
821;101530205;3002634;101025801
822;101629582;3002635;101024234
823;;3002636;
824;101514863;3002640;101009508
825;101573203;3002643;101011799
826;101591534;3002054;101006567
827;101630426;3002639;101075941
828;;3002645;
829;101551125;3002647;101028289
830;;3002648;
831;101645595;3002676;101018377
832;;3002646;
833;101667385;3002650;100999062
834;101628600;3002655;101067106
835;101510623;3002652;100989663
836;101492079;3002653;101032836
837;101630013;3002660;101042776
838;;3002654;
839;101593008;3002658;101029659
840;;3002701;
841;101599290;3002659;101032219
842;;3002677;
843;101662861;3002695;101000478
844;101656521;3002687;101028156
845;101530115;3002722;101026437
846;101549991;3002738;101064729
847;101472226;3002718;101020522
848;101740935;3002734;101740936
849;;3002726;
850;101519591;3002759;101083392
851;101563321;3002729;101014268
852;101664277;3002740;101047643
853;;3002739;
854;;3002743;
855;101522015;3002747;101064732
856;;3002055;
857;101498487;3002780;101004076
858;101622912;3002748;101049397
859;101665333;3002750;101028823
860;101492515;3002754;101039784
861;101500375;3002757;101044776
862;101671554;3002762;101048092
863;101542678;3002812;101022231
864;101578301;3002764;101056661
865;101504517;3002763;101012295
866;101596448;3002777;100996432
867;101542518;3002767;101031822
868;;3002778;
869;;3002787;
870;;3002782;
871;;3002783;
872;;3002785;
873;;3002791;
875;101443001;3002790;101026291
876;;3002811;
877;;3002793;
878;101528894;3002794;100989758
879;;3002795;
880;101418038;3002796;100987011
881;101605296;3002803;101069122
882;;3002807;
883;101482673;3002809;101063250
884;101454069;3002813;100984021
885;101500555;3002815;100989177
886;101525553;3002823;101064731
887;101465012;3002816;101030277
888;101423729;3002817;101070824
889;101664107;3002818;100998753
890;101445653;3002819;101065044
891;101498521;3002820;101062454
892;;3002821;
893;101430449;3002833;101016681
894;101511247;3002828;101049394
895;101432783;3002829;100986160
896;101479475;3002831;101009330
897;101467427;3002834;100987222
898;101531058;3002837;101035278
899;101471228;3002848;101010327
900;101455661;3002839;101021560
901;101421969;3002843;100987013
902;101483447;3002842;101029627
903;101490871;3002853;100995611
904;101594108;3002851;101013406
905;101443317;3002852;100986048
906;101608966;3002856;101016448
907;101503643;3002859;100985083
908;;3002858;
909;;3002861;
910;101452828;3002863;101011676
911;101465106;3002867;100996996
912;101449865;3002864;101039857
913;;3002862;
914;;3002866;
915;101497095;3002865;101060254
916;101424675;3002868;101013940
917;101598348;3002641;101069662
918;101468348;3002869;101075255
919;101460556;3002873;101021872
920;101472307;3002871;101039991
921;101430209;3002870;100982022
922;101425115;3002874;101074278
923;101426135;3002875;101041937
924;101431411;3002877;100985272
925;;3002876;
926;101425327;3002879;100986159
927;;3002878;
928;;3002880;
929;101437237;3000108;100990385
930;;3002889;
931;101588532;3002882;101193490
932;101602762;3000543;101015166
933;101451671;3002905;101024862
934;101616654;3000545;101031991
935;;3002883;
936;;3002892;
937;;3002885;
938;;3002900;
939;;3002893;
940;;3002895;
941;101426001;3002897;101064302
942;;3002937;
943;101627652;3002955;101012971
944;101423579;3002912;100995982
945;;3002911;
946;101644134;3002913;100995312
947;;3002916;
948;;3002915;
949;101422783;3002917;100988666
950;101617834;3002919;101027462
951;;3002920;
952;101452655;3002922;101018734
953;101559023;3002923;101062570
954;101617534;3002924;101063223
955;;3002927;
956;;3002956;
957;;3002951;
958;101549425;3002950;101011451
959;;3002953;
960;;3002954;
961;;3002961;
962;;3002957;
963;;3002958;
964;101612170;3002960;101057994
965;101560551;3002959;101011449
966;101606194;3002962;101060123
967;;3002963;
968;101563809;3002965;101006332
969;101485451;3002966;101016668
970;101544482;3002967;101008058
971;;3002964;
972;;3002969;
973;101568801;3002970;101013564
974;;3002968;
975;101619938;3002978;100993992
976;101639508;3002973;101032422
977;101443757;3002972;101032902
978;101584210;3002974;101013755
979;101631186;3002976;101034979
980;;3002975;
981;101583252;3002981;101011061
982;101580668;3002980;101081912
983;;3002979;
984;101537466;3002983;101005486
985;101603022;3002982;101037596
986;101565011;3000548;101016492
987;101587598;3002990;100986299
988;101742699;3002986;101742700
989;;3002985;
990;101447453;3002987;101066140
991;101525165;3002992;101030914
992;101738715;3002995;101738716
993;101587614;3000549;101037131
994;;3002991;
995;101418681;3002994;101013077
996;;3002999;
997;101662025;3002997;101043301
998;101503175;3001575;101006393
999;;3002996;
1000;;3002998;
1001;101532507;3000550;101010377
1002;101575251;3003000;101051421
1003;101653883;3003001;101016336
1004;101605952;3003038;100994435
1005;101542560;3003004;101034006
1006;101627794;3003048;101074651
1007;;3003007;
1008;101531605;3003044;101059158
1009;101649403;3003040;101011914
1010;101538188;3003043;101064765
1011;101650465;3002938;101029852
1012;101424657;3003045;101024998
1013;101738626;3003055;101738627
1014;101643976;3003049;100996201
1015;;3003051;
1016;;3003050;
1017;;3003052;
1018;101586788;3003057;101036808
1019;;3003054;
1020;;3003062;
1021;101645663;3003056;101009509
1022;101442621;3003071;101012108
1023;101651449;3003068;101043799
1024;;3003067;
1025;101502509;3003069;100997926
1026;101575901;3003070;101007520
1027;101654081;3000553;101012694
1028;;3003074;
1029;101441261;3003081;101063408
1030;101649727;3003079;101002040
1031;101634422;3003080;101010985
1032;;3003084;
1033;;3003088;
1034;101649733;3001135;101027885
1035;101656945;3003083;101069273
1036;;3003095;
1037;101603128;3003091;101013675
1038;101661639;3003089;100984115
1039;101633752;3003093;101035510
1040;;3003096;
1041;101640518;3003106;101031605
1042;;3003099;
1043;101654625;3000556;100986071
1044;101537548;3003107;101064888
1045;;3003105;
1046;101633354;3003104;101006629
1047;101645441;3003110;101027790
1048;101651339;3003109;101063573
1049;101637416;3003116;101023824
1050;;3003124;
1051;101473634;3003111;100995880
1052;101427113;3003113;101066814
1053;;3003115;
1054;101651243;3000558;100983370
1055;;3003117;
1056;101621772;3003118;101032636
1057;101653921;3003121;101001289
1058;101641288;3003125;101021411
1059;101626930;3003136;101057272
1060;101567661;3003127;101051531
1061;;3003126;
1062;101670267;3003132;101141110
1063;;3003130;
1064;101641296;3003133;100999146
1065;101653193;3003131;101011086
1066;101484291;3003138;100981040
1067;;3003137;
1068;101653133;3003139;100985246
1069;101642848;3003144;100995749
1070;101659263;3003149;101036597
1071;101636688;3003153;101009203
1072;;3003145;
1073;;3003146;
1074;;3003148;
1075;;3003174;
1076;;3003165;
1077;;3003150;
1078;101492643;3000735;101045727
1079;;3003161;
1080;101643314;3000882;101028538
1081;101648785;3003162;101053265
1082;;3003166;
1083;;3003164;
1084;101649007;3003168;101075746
1085;101638836;3003167;100995184
1086;101648845;3003171;101063574
