NO_ORDRE_P;NPA;LOC_NOM_COMPLET;LOC_NOM_ABREGE;OFS_COMMUNE;CANDIDATS_ORDRE_P
4439;8030;Zürich 30 Hottingen                    ;Zürich            ;261;4385-4386-4387-4388-4390-4391-4392-4407-4416-4425-4426-4430-4432-4435-4440-4441-4444-4445-4447-4449-4450-4453-4454-4455-4457-4459-4461-4463-4464-4467-4468-4470-4471-4473-4474-4476-4483-4484-4488-4489-4490-4491-4492-4493-6283-6284-6625-6670-7419-7423-7486-7935-8218-8480-8898
4446;8035;Zürich 35 Stampfenbach                 ;Zürich            ;261;4385-4386-4387-4388-4390-4391-4392-4407-4416-4425-4426-4430-4432-4435-4440-4441-4444-4445-4447-4449-4450-4453-4454-4455-4457-4459-4461-4463-4464-4467-4468-4470-4471-4473-4474-4476-4483-4484-4488-4489-4490-4491-4492-4493-6283-6284-6625-6670-7419-7423-7486-7935-8218-8480-8898
4451;8039;Zürich 39 Selnau                       ;Zürich            ;261;4385-4386-4387-4388-4390-4391-4392-4407-4416-4425-4426-4430-4432-4435-4440-4441-4444-4445-4447-4449-4450-4453-4454-4455-4457-4459-4461-4463-4464-4467-4468-4470-4471-4473-4474-4476-4483-4484-4488-4489-4490-4491-4492-4493-6283-6284-6625-6670-7419-7423-7486-7935-8218-8480-8898
4456;8043;Zürich                                 ;Zürich            ;261;4385-4386-4387-4388-4390-4391-4392-4407-4416-4425-4426-4430-4432-4435-4440-4441-4444-4445-4447-4449-4450-4453-4454-4455-4457-4459-4461-4463-4464-4467-4468-4470-4471-4473-4474-4476-4483-4484-4488-4489-4490-4491-4492-4493-6283-6284-6625-6670-7419-7423-7486-7935-8218-8480-8898
4566;8202;Schaffhausen 2 Unterstadt;Schaffhausen					;2939;4559-4565-4567-4568-4571-4572
4569;8205;Schaffhausen 5 Hochstrasse             ;Schaffhausen      ;2939;4559-4565-4567-4568-4571-4572
4570;8206;Schaffhausen 6 St. Niklausen           ;Schaffhausen      ;2939;4559-4565-4567-4568-4571-4572
4705;8403;Winterthur 3 Geiselweid                ;Winterthur        ;230;4690-4701-4704-4706-4708-4710-4712-4713-4715
4711;8407;Winterthur 7 Veltheim                  ;Winterthur        ;230;4690-4701-4704-4706-4708-4710-4712-4713-4715
4741;8439;Winterthur Ausgänge                    ;Winterthur Ausg   ;230;4690-4701-4704-4706-4708-4710-4712-4713-4715
4875;8562;Märstetten Dorf                        ;Märstetten Dorf   ;4941;4864
4983;8650;Jona Paketbasis                        ;Jona Paketbasis   ;3340;4984
5175;8963;Kindhausen AG                          ;Kindhausen AG     ;4023;5174-5179
5180;8968;Mutschellen                            ;Mutschellen       ;4062;5176-5177-6390
5232;9043;Trogen Kinderdorf Pestalozzi;Trogen Kinderdorf			;3025;5231
5309;9302;Kronbühl                               ;Kronbühl          ;3204;5212-5310-5315-8845
5609;1099;Montpreveyres Fotolabo Club SA         ;Montpreveyres Foto;5792;241
5733;1051;Le Mont-sur-Lausanne Poly              ;Mont-Lausanne Poly;5587;214
5889;2724;Peuchapatte, Le                        ;Le Peuchapatte    ;6753;1383-1516-1517-8004
6188;1410;Corrençon;Corrençon										;5685;238-219-711
6285;1631;Bulle centre de traitement             ;Bulle             ;2125;803-831-6628-6629
6548;8609;Schwerzenbach Sonderdienste            ;Schwerzenbach     ;197;4943
7102;2510;Biel/Bienne Paketbasis/Base Colis      ;Biel/Bienne Pbasis;371;1426-1408-1409-1411-1412-1413-1428-1429-1430-1431-1442
7648;2096;Neuchâtel Services Spéciaux            ;Neuchâtel         ;6458;1254-1257-1260-1261-1269-1275-1286-1287-1323-7008
8824;4810;Zofingen PostFinance GLKB              ;Zofingen PF GLKB  ;4289;8486
